,Rating,Title,Author,Country,Date,Review Body,Type Of Traveller,Seat Type,Aircraft,Verified,Source,Destination,Via,Date Flown Month,Date Flown Year
2014,2,unknown,j stonfer,unknown,2015-02-12,flew 787 dreamliner doha singapore must say close neighbor afraid would amalgamate one amenity food experience went right window anyway thing like food entertainment crew good none matter 6 slightly heavy guy sits plane qatar airway might great job premium class since majority people travel economy rethink strategy chance travelling qatar small,,nan,,Unknown,NAN,NAN,0,0,
2015,0,qatar airway customer review,unknown,unknown,2015-02-12,unknown,,economy class,,Unknown,NAN,NAN,0,0,
2016,6,qatar airway customer review,b ghannadian,united states,2015-02-12,flew qatar last month multiple time dfwdohikadohmed jeddohikadohdfw say agree one previous review regarding staff behavior change soon see business first class ticket change boarding pas dallas staying line staff really inattentive caring soon handed boarding pas sudden attitude changed maybe apologized 45 time making wait line flight attendant nice polite happier others overall attentive food selection appealing taste good specially fan middle eastern indian type food drink selection really good meal served la cart con pro good option want want however bothersome sense specially cabin light turned trying get sleep passenger next trying eat overall satisfied short haul business class flight compare long haul seat comfortable wide plenty legroom would happy seat little separatordivider give little privacy sleeping specially passenger next chooses read watch tv eat doha airport huge best airport short layover make sure lease 90 minute two flight 50 minute missed flight everything go well right schedule 50 minute would enough short flight delayed even 5 minute plane parked jetway passenger taken airport bus airport staff nice really helpful much guess like anywhere else lounge huge contemporary decor many food drink option main sitting area two restaurant crowded restroom insufficient,,business class,,Unknown,NAN,NAN,0,0,
2017,0,unknown,laprairie,united states,2015-02-06,unknown,,business class,,Unknown,NAN,NAN,0,0,
2018,8,unknown,verri,united kingdom,2015-02-06,milan nairobi via doha leg a320 aircraft newer aircraft first leg provided softer seating entertainment demand older a320 second leg harder seating entertainment legroom issue entertainment box seat front f seat otherwise okay recline generous even though people behind complain invades space,,nan,,Unknown,NAN,NAN,0,0,
2019,7,qatar airway customer review,b little,unknown,2015-02-06,flew lhrdohper business class december 2014 seat staff service excellent catering however special diet gluten free awful nicely presented dry chicken four time 2 leg gf easy diet produce tasty meal far better one qantas domestic flight economy flown major airline oz worst food,,nan,,Unknown,NAN,NAN,0,0,
2020,9,qatar airway customer review,daniel ludwig,sri lanka,2015-01-28,cmbfra business class took night flight arrived rested germany 30 minute earlier expected able change connecting flight within germany arrived earlier final destination germany return cmb frankfurt ground handling staff impolite firstly didnt know class suddenly saw ticket smile appeared shouldnt every customer treated way flight fra doh delay therefore connecting time doh cmb 30 minute earlier stated review others plane business class better economic class unable rest however wouldnt mind recommending airline,,business class,,Unknown,NAN,NAN,0,0,
2021,4,qatar airway customer review,c mcluckie,united kingdom,2015-01-28,flew economy boeing 787 dreamliner edinburgh bali via doha worst seating encountered economy seat narrow design genius never flown economy thought would good feature locate large ife box seat one leg always constantly rubbing seat front reclined room move people window middle seat trapped service ok choice movie extensive emirate,,economy class,,Unknown,NAN,NAN,0,0,
2022,10,qatar airway customer review,slark,united kingdom,2015-01-28,unknown,,business class,,Unknown,NAN,NAN,0,0,
2023,10,unknown,j bacallado,unknown,2015-01-28,kuwdohteh flight time flying qatar always great fast easy check ground staff attentive boarding time fa best service airline flown far comfortable a320 sector good legroom full meal every flight ife also available doha new airport amazing perfect organization line security connection business lounge best ive seen far arrival time bag belt short arrival,,economy class,,Unknown,NAN,NAN,0,0,
2024,10,qatar airway customer review,doug slowman,united kingdom,2015-01-28,edinburgh doha flight qr 28 24th january 2015 first time ive flown qatar airway would hesitate recommending believe best economy class flight spacious seating tasty food friendly attentive staff experience long haul flight cabin crew get service way quickly possible disappear behind curtain rest flight like helpful throughout flight impressed,,economy class,,Unknown,NAN,NAN,0,0,
2025,6,qatar airway customer review,laprairie,united states,2015-01-26,qr708 iaddoh seat 3k sure happened qr evening start one expects carrier last four trip qr including one entailed lengthy business class checkin wait iad cant qr iad enough dedicated business class checkin counter manage flow checkingin passenger way prioritizes high yield customer waiting 30 minute checkin business class line watching economy class passenger arrived well breeze counter acceptable qr need look seriously isnt first time ive encountered checking flight iad flight left early turbulence early delayed dinner service however started left aisle business cabin second course passenger right aisle even drink purser ensure consistency throughout cabin fa working aisle asked could clear service item id even served main course informed hadnt dinner yet ordering appetizer told one appetizer selection might available many passenger ordered thing really business cabin full im row 3 main course dinner lamb shank root vegetable entirely underwhelming put front sauce congealed started eat tepidly warm purser came around asked meal told hot looked like sitting got nice smile im sorry sir offer reheated replaced particularly irked minute takeoff purser went around cabin summarily closing everyones window shade hand appeared row behind close window looking moment admiring night time view new york there lot time remaining take nighttime transatlantic flight fa go around cabin discretely close window shade sunrise believe passenger may want see nighttime light new york boston halifax st john want close shade early flight least ask passenger want shade drawn rather briskly machinelike marching around cabin closing passenger typically chose window seat reason sorry qr one better day,,nan,,Unknown,NAN,NAN,0,0,
2026,9,qatar airway customer review,david gilbert,italy,2015-01-21,mxpdohinc pekdohmxp 3 flight 4 777 1 330 business seat 777 far superior compared rather cramped angled 330 liked 777 seat fact plenty space foot box sleep position freedom movement 330 foot box restricts movement quite annoying doesnt go flat service sector excellent food wine couldnt fault staff 7 hour layover outbound trip went free doha city tour well worth back time relax couple hour enormous lounge would recommend qatar beware travelling cramped 330 business class ok day flight night flight,,business class,,Unknown,NAN,NAN,0,0,
